"MP Name","Constituency","State","House","Allocated Amount (₹)","Total Expenditure (₹)","Utilization %","Completed Works","Recommended Works","Completion Rate %","Unspent Amount (₹)","Transaction Count","Successful Payments","Pending Payments","Average Rating"
"Daggubati Purandeshwari","RAJAHMUNDRY","Andhra Pradesh","Lok Sabha",147000000,14394558,9.79,3,26,10.34,132605442,13,13,0,"N/A"
"Balashowry Vallabbhaneni","MACHILIPATNAM","Andhra Pradesh","Lok Sabha",147000000,14363941,9.77,9,52,14.75,132636059,26,24,2,"N/A"
"Rao Rajendra Singh","JAIPUR RURAL","Rajasthan","Lok Sabha",147000000,14160844,9.63,10,94,9.62,132839156,35,34,1,"N/A"
"Prof Sougata Ray","DUM DUM","West Bengal","Lok Sabha",147000000,14046615,9.56,12,40,23.08,132953385,17,17,0,"N/A"
"SMITA UDAY WAGH","JALGAON","Maharashtra","Lok Sabha",148107373.11,14030677,9.47,9,1,90,134076696.11000001,9,9,0,"N/A"
"DR. PRASHANT YADAORAO PADOLE","BHANDARA-GONDIYA","Maharashtra","Lok Sabha",159680283.39,14961080,9.37,8,144,5.26,144719203.39,21,20,1,"N/A"
"ANITA SUBHADARSHINI","ASKA","Odisha","Lok Sabha",147000000,13418448,9.13,17,123,12.14,133581552,34,32,2,"N/A"
"Shri PP Chaudhary","PALI","Rajasthan","Lok Sabha",147000000,13376714,9.1,8,34,19.05,133623286,144,142,2,"N/A"
"Shri Sanjay Singh (2024-30)","Sitting Rajya Sabha","Delhi","Rajya Sabha",184466426.11,16687160,9.05,16,85,15.84,167779266.11,22,22,0,"N/A"
"Dr. V. Sivadasan (2021-27)","Sitting Rajya Sabha","Kerala","Rajya Sabha",276720323.27,24863346,8.99,14,49,22.22,251856977.26999998,45,45,0,"N/A"
"Ramesh Chandappa Jigajinagi","BIJAPUR","Karnataka","Lok Sabha",269500000,24205222,8.98,0,362,0,245294778,123,94,29,"N/A"
"Kamaljeet Sehrawat","WEST DELHI","Delhi","Lok Sabha",147000000,13075365,8.89,31,32,49.21,133924635,34,33,1,"N/A"
"BHARAT SINGH KUSHWAH","GWALIOR","Madhya Pradesh","Lok Sabha",151455276.04,13426652,8.87,4,112,3.45,138028624.04,40,40,0,"N/A"
"DR. M.P ABDUSSAMAD SAMADANI","PONNANI","Kerala","Lok Sabha",170434031.11,15076499,8.85,48,276,14.81,155357532.11,53,52,1,"N/A"
"KAMAKHYA PRASAD TASA","Kaziranga","Assam","Lok Sabha",147000000,12986949,8.83,0,88,0,134013051,37,34,3,"N/A"
"Ravindra Shyamnarayan Alias Ravi Kishan Shukla","GORAKHPUR","Uttar Pradesh","Lok Sabha",147000000,12572509,8.55,0,9,0,134427491,10,10,0,"N/A"
"TANGELLA UDAY SRINIVAS","KAKINADA","Andhra Pradesh","Lok Sabha",199417886.76,16907864,8.48,6,16,27.27,182510022.76,10,10,0,"N/A"
"Dr Jayanta Kumar Roy","JALPAIGURI","West Bengal","Lok Sabha",147000000,12082736,8.22,2,16,11.11,134917264,5,5,0,"N/A"
"Shri Jyotirmay Singh Mahato ","PURULIA","West Bengal","Lok Sabha",147000000,11711831,7.97,15,92,14.02,135288169,31,31,0,"N/A"
"Shri Amit Shah","GANDHINAGAR","Gujarat","Lok Sabha",147000000,11529274,7.84,22,96,18.64,135470726,27,27,0,"N/A"
"MANOJ TIGGA","ALIPURDUARS","West Bengal","Lok Sabha",147000000,11379773,7.74,0,90,0,135620227,17,17,0,"N/A"
"KULDEEP INDORA","GANGANAGAR","Rajasthan","Lok Sabha",147000000,11236750,7.64,2,90,2.17,135763250,68,49,19,"N/A"
"Vishnu Dutt Sharma","KHAJURAHO","Madhya Pradesh","Lok Sabha",147000000,11209947,7.63,3,132,2.22,135790053,21,21,0,"N/A"
"Asaduddin Owaisi","HYDERABAD","Telangana","Lok Sabha",147000000,11172317,7.6,1,17,5.56,135827683,7,7,0,"N/A"
"Yogendra Chandoliya","NORTH WEST DELHI","Delhi","Lok Sabha",147876307,10961614,7.41,11,48,18.64,136914693,14,14,0,"N/A"
"Shri Manas Ranjan Mangaraj (2022-28)","Sitting Rajya Sabha","Odisha","Rajya Sabha",196063957.11,13305000,6.79,23,104,18.11,182758957.11,31,31,0,"N/A"
"Magunta Sreenivasulu Reddy","ONGOLE","Andhra Pradesh","Lok Sabha",147000000,9854157,6.7,1,18,5.26,137145843,9,9,0,"N/A"
"JAGADISH SHETTAR","BELGAUM","Karnataka","Lok Sabha",147000000,9847651,6.7,1,171,0.58,137152349,29,21,8,"N/A"
"Sribharat MathuKumli","VISAKHAPATNAM","Andhra Pradesh","Lok Sabha",164841922,10903207,6.61,0,40,0,153938715,15,15,0,"N/A"
"DHARMENDRA PRADHAN","SAMBALPUR","Odisha","Lok Sabha",147000000,9704141,6.6,2,116,1.69,137295859,31,21,10,"N/A"
"P C Mohan","BANGALORE CENTRAL","Karnataka","Lok Sabha",159995711.11,10439505,6.52,2,17,10.53,149556206.11,21,21,0,"N/A"
"Shri M K Raghavan","KOZHIKODE","Kerala","Lok Sabha",147000000,9365325,6.37,14,254,5.22,137634675,26,25,1,"N/A"
"TRIVENDRA SINGH RAWAT","HARDWAR","Uttarakhand","Lok Sabha",147000000,9309458,6.33,3,41,6.82,137690542,16,16,0,"N/A"
"RABINDRA NARAYAN BEHERA","JAJPUR","Odisha","Lok Sabha",147064617.11,9146086,6.22,3,190,1.55,137918531.11,41,41,0,"N/A"
"Shri Satnam Singh Sandhu (2024-30)","Nominated Rajya Sabha","Chandigarh","Rajya Sabha",147000000,9104144,6.19,4,20,16.67,137895856,59,58,1,"N/A"
"Shri Ashokrao Shankarrao Chavan (2024-30)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",147000000,8968982,6.1,2,31,6.06,138031018,8,8,0,"N/A"
"ISHA KHAN CHOUDHURY","MALDAHA DAKSHIN","West Bengal","Lok Sabha",147000000,8567025,5.83,25,99,20.16,138432975,25,25,0,"N/A"
"PRANITI SUSHILKUMAR SHINDE","SOLAPUR","Maharashtra","Lok Sabha",147000000,8440395,5.74,2,122,1.61,138559605,9,9,0,"N/A"
"DR. HEMANT VISHNU SAVARA","PALGHAR","Maharashtra","Lok Sabha",147000000,8415952,5.73,1,84,1.18,138584048,11,11,0,"N/A"
"Shri Ashwini Vaishnaw (2024-30)","Sitting Rajya Sabha","Odisha","Rajya Sabha",265563957.11,14565426,5.48,4,13,23.53,250998531.11,21,21,0,"N/A"
"PATHAN YUSUF","BAHARAMPUR","West Bengal","Lok Sabha",147000000,7860897,5.35,1,144,0.69,139139103,6,4,2,"N/A"
"ANIL YESHWANT DESAI","MUMBAI SOUTH CENTRAL","Maharashtra","Lok Sabha",147000000,7792570,5.3,0,34,0,139207430,4,3,1,"N/A"
"Dhairyasheel Sambhajirao Mane","HATKANANGLE","Maharashtra","Lok Sabha",147000000,7519206,5.12,4,13,23.53,139480794,5,5,0,"N/A"
"BHAJAN LAL JATAV","KARAULI-DHOLPUR","Rajasthan","Lok Sabha",147000000,7253086,4.93,11,41,21.15,139746914,139,139,0,"N/A"
"Shri Devendra Pratap Singh (2024-30)","Sitting Rajya Sabha","Chhattisgarh","Rajya Sabha",170837637.76,8275468,4.84,3,14,17.65,162562169.76,14,14,0,"N/A"
"Shri Lahar Singh Siroya (2022-28)","Sitting Rajya Sabha","Karnataka","Rajya Sabha",206278088.11,9964305,4.83,2,14,12.5,196313783.11,8,8,0,"N/A"
"KUNDURU RAGHUVEER","NALGONDA","Telangana","Lok Sabha",162952022,7766945,4.77,6,23,20.69,155185077,9,9,0,"N/A"
"MOHITE PATIL DHAIRYASHEEL RAJSINH","MADHA","Maharashtra","Lok Sabha",195613601.7,8828612,4.51,41,218,15.83,186784989.7,41,41,0,"N/A"
"Sivanath Kesineni","VIJAYAWADA","Andhra Pradesh","Lok Sabha",147000000,6329561,4.31,1,28,3.45,140670439,3,3,0,"N/A"
"Dushyant Singh","JHALAWAR-BARAN","Rajasthan","Lok Sabha",147000000,6025816,4.1,0,27,0,140974184,26,25,1,"N/A"
"Khagen Murmu","MALDAHA UTTAR","West Bengal","Lok Sabha",147000000,6003169,4.08,7,31,18.42,140996831,7,7,0,"N/A"
"Shri Shantanu Thakur ","BANGAON","West Bengal","Lok Sabha",147000000,5993836,4.08,8,50,13.79,141006164,8,8,0,"N/A"
"SANJAY DINA PATIL","MUMBAI NORTH EAST","Maharashtra","Lok Sabha",147000000,5955517,4.05,0,40,0,141044483,3,2,1,"N/A"
"Smt Raksha Nikhil Khadse","RAVER","Maharashtra","Lok Sabha",153112586.11,5871973,3.84,3,6,33.33,147240613.11,3,3,0,"N/A"
"Shri Subhasish Khuntia (2024-30)","Sitting Rajya Sabha","Odisha","Rajya Sabha",147000000,5516064,3.75,3,219,1.35,141483936,31,31,0,"N/A"
"Mohamed Haneefa","LADAKH","Ladakh","Lok Sabha",161114542,6009392,3.73,0,55,0,155105150,8,8,0,"N/A"
"PARIMAL SUKLABAIDYA","SILCHAR","Assam","Lok Sabha",148300157.11,5511762,3.72,0,153,0,142788395.11,13,10,3,"N/A"
"Shyamkumar","RAMTEK","Maharashtra","Lok Sabha",147000000,5141086,3.5,1,34,2.86,141858914,6,5,1,"N/A"
"Chandra Prakash Joshi","CHITTORGARH","Rajasthan","Lok Sabha",147000000,4862785,3.31,10,186,5.1,142137215,42,41,1,"N/A"
"Kishan Reddy Gangapuram","SECUNDERABAD","Telangana","Lok Sabha",147000000,4754322,3.23,0,38,0,142245678,5,5,0,"N/A"
"Shri Jogen Mohan (2026-32)","Sitting Rajya Sabha","Assam","Rajya Sabha",49000000,1500000,3.06,0,22,0,47500000,1,0,1,"N/A"
"SELVAGANAPATHI T M","SALEM","Tamil Nadu","Lok Sabha",147000000,4244214,2.89,0,17,0,142755786,2,2,0,"N/A"
"Smt Sangeeta Kumari Singh Deo","BOLANGIR","Odisha","Lok Sabha",147000000,4193424,2.85,3,225,1.32,142806576,14,13,1,"N/A"
"Ajay Tamta","ALMORA","Uttarakhand","Lok Sabha",147000000,4091663,2.78,3,139,2.11,142908337,92,83,9,"N/A"
"Shri Sanjay Kumar Jha (2024-30)","Sitting Rajya Sabha","Bihar","Rajya Sabha",186200000,5078584,2.73,4,2,66.67,181121416,6,6,0,"N/A"
"Smt. Laxmi Verma (2026-32)","Sitting Rajya Sabha","Chhattisgarh","Rajya Sabha",49000000,1250000,2.55,0,2,0,47750000,2,2,0,"N/A"
"Shri Nitin Laxmanrao Jadhav Patil (2024-28)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",122500000,2996110,2.45,3,58,4.92,119503890,3,3,0,"N/A"
"Shri B. Parthasaradhi Reddy (2022-28)","Sitting Rajya Sabha","Telangana","Rajya Sabha",244365104,5945528,2.43,6,19,24,238419576,7,7,0,"N/A"
"RADHAKRISHNA","GULBARGA","Karnataka","Lok Sabha",147000000,3254664,2.21,0,29,0,143745336,2,2,0,"N/A"
"VIVEK THAKUR","NAWADA","Bihar","Lok Sabha",147000000,3164487,2.15,1,85,1.16,143835513,5,5,0,"N/A"
"Smt. Renuka Chowdhury (2024-30)","Sitting Rajya Sabha","Telangana","Rajya Sabha",147000000,3061296,2.08,0,105,0,143938704,7,5,2,"N/A"
"RUDRA NARAYAN PANY","DHENKANAL","Odisha","Lok Sabha",155013957.11,3039057,1.96,0,79,0,151974900.11,22,22,0,"N/A"
"ANIL BALUNI","GARHWAL","Uttarakhand","Lok Sabha",147000000,2739441,1.86,1,11,8.33,144260559,8,8,0,"N/A"
"Pratap Chandra Sarangi","BALASORE","Odisha","Lok Sabha",147064254.11,2525000,1.72,10,117,7.87,144539254.11,10,10,0,"N/A"
"Shri Paka Venkata Satyanarayana (2025-28)","Sitting Rajya Sabha","Andhra Pradesh","Rajya Sabha",98000000,1599035,1.63,1,12,7.69,96400965,1,1,0,"N/A"
"Shri Jagat Prakash Nadda (2024-30)","Sitting Rajya Sabha","Gujarat","Rajya Sabha",147000000,2100000,1.43,0,74,0,144900000,5,4,1,"N/A"
"Lavu Sri Krishna Devarayalu","NARASARAOPET","Andhra Pradesh","Lok Sabha",174009663.11,2402685,1.38,1,130,0.76,171606978.11,4,4,0,"N/A"
"Nishikant Dubey","GODDA","Jharkhand","Lok Sabha",147000000,1785510,1.21,0,2,0,145214490,1,1,0,"N/A"
"Prataprao Jadhav","BULDHANA","Maharashtra","Lok Sabha",147000000,1208028,0.82,0,68,0,145791972,2,2,0,"N/A"
"Shri Milind Murli Deora (2024-30)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",147000000,999996,0.68,0,25,0,146000004,2,1,1,"N/A"
"Shri Kartikeya Sharma (2022-28)","Sitting Rajya Sabha","Haryana","Rajya Sabha",196000000,1161226,0.59,0,62,0,194838774,2,2,0,"N/A"
"Gajendra Singh Shekhawat","JODHPUR","Rajasthan","Lok Sabha",147000000,491827,0.33,0,33,0,146508173,1,1,0,"N/A"
"Shrikant Eknath Shinde","KALYAN","Maharashtra","Lok Sabha",147000000,325000,0.22,0,2,0,146675000,1,1,0,"N/A"
"DR. PRADEEP KUMAR PANIGRAHY","BERHAMPUR","Odisha","Lok Sabha",147000000,0,0,0,111,0,147000000,0,0,0,"N/A"
"CHAVAN VASANTRAO BALWANTRAO","NANDED","Maharashtra","Lok Sabha",0,0,0,0,0,0,0,0,0,0,"N/A"
"Bhupathiraju Srinivasa varma","NARASAPURAM","Andhra Pradesh","Lok Sabha",147000000,0,0,0,1,0,147000000,0,0,0,"N/A"
"Kalaben Mohanbhai Delkar","DADRA & NAGAR HAVELI","The Dadra And Nagar Haveli And Daman And Diu","Lok Sabha",147000000,0,0,0,2,0,147000000,0,0,0,"N/A"
"MANISH JAISWAL","HAZARIBAGH","Jharkhand","Lok Sabha",147000000,0,0,0,164,0,147000000,0,0,0,"N/A"
"MISHA BHARTI","PATALIPUTRA","Bihar","Lok Sabha",147000000,0,0,0,0,0,147000000,0,0,0,"N/A"
"PATEL UMESHBHAI BABUBHAI","DAMAN and DIU","The Dadra And Nagar Haveli And Daman And Diu","Lok Sabha",245063957,0,0,0,61,0,245063957,0,0,0,"N/A"
"HARISH CHANDRA MEENA","TONK-SAWAI MADHOPUR","Rajasthan","Lok Sabha",147000000,0,0,0,0,0,147000000,0,0,0,"N/A"
"NARESH GANPAT MHASKE","THANE","Maharashtra","Lok Sabha",147000000,0,0,0,0,0,147000000,0,0,0,"N/A"
"Rajiv Ranjan (Lalan) Singh","MUNGER","Bihar","Lok Sabha",147000000,0,0,0,1,0,147000000,0,0,0,"N/A"
"Sanjay Jaiswal","PASCHIM CHAMPARAN","Bihar","Lok Sabha",147000000,0,0,0,0,0,147000000,0,0,0,"N/A"
"Rajiv Pratap Rudy","SARAN","Bihar","Lok Sabha",147000000,0,0,0,12,0,147000000,0,0,0,"N/A"
"Dr. Abhishek Manu Singhvi (2026-32)","Sitting Rajya Sabha","Telangana","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Dr. Meenakshi Jain (2025-31)","Nominated Rajya Sabha","Delhi","Rajya Sabha",73500000,0,0,0,10,0,73500000,0,0,0,"N/A"
"Dr. Satish Poonia (2026-32)","Sitting Rajya Sabha","Rajasthan","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Shri Anurag Sharma (2026-32)","Sitting Rajya Sabha","Himachal Pradesh","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Dr. Jyoti Nagnath Waghmare (2026-32)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Dr. Mukeshbhai J. Rathwa (2026-32)","Sitting Rajya Sabha","Gujarat","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Dr. Anbumani Ramadoss (2026-32)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Dr. M. Thambi Durai (2026-32)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",49356476.5,0,0,0,0,0,49356476.5,0,0,0,"N/A"
"Dr. Santrupt Misra (2026-32)","Sitting Rajya Sabha","Odisha","Rajya Sabha",49000000,0,0,0,11,0,49000000,0,0,0,"N/A"
"Dr. Alka Singh (2026-32)","Sitting Rajya Sabha","Rajasthan","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Ms. Swati Maliwal (2024-30)","Sitting Rajya Sabha","Delhi","Rajya Sabha",147000000,0,0,0,3,0,147000000,0,0,0,"N/A"
"Shri C. Sadanandan Master (2025-31)","Nominated Rajya Sabha","Kerala","Rajya Sabha",73500000,0,0,0,35,0,73500000,0,0,0,"N/A"
"Shri Christopher Manickam (2026-32)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",49356476.5,0,0,0,0,0,49356476.5,0,0,0,"N/A"
"Shri Khiangte Laltluangkima (2026-32)","Sitting Rajya Sabha","Mizoram","Rajya Sabha",24500000,0,0,0,0,0,24500000,0,0,0,"N/A"
"Shri Nitin Nabin (2026-32)","Sitting Rajya Sabha","Bihar","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Shri Parth Ajit Pawar (2026-32)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Shri Pawan Khera (2026-32)","Sitting Rajya Sabha","Karnataka","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Shri Rajesh Parmanand Shukla (2026-32)","Sitting Rajya Sabha","Gujarat","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Shri Rajinder Gupta (2025-28)","Sitting Rajya Sabha","Punjab","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Shri Ramdas Bandu Athawale (2026-32)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Shri Ramrao Sakharam Wadkute (2026-32)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Shri Sanjay Yadav (2024-30)","Sitting Rajya Sabha","Bihar","Rajya Sabha",186200000,0,0,0,54,0,186200000,0,0,0,"N/A"
"Shri Tarun Chugh (2026-32)","Sitting Rajya Sabha","Madhya Pradesh","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Shri Vijay Chintakayala (2026-32)","Sitting Rajya Sabha","Andhra Pradesh","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Smt. Adhikarimayum Sharda Devi (2026-32)","Sitting Rajya Sabha","Manipur","Rajya Sabha",49000000,0,0,0,3,0,49000000,0,0,0,"N/A"
"Shri Baidyanath Ram (2026-32)","Sitting Rajya Sabha","Jharkhand","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Shri Karamvir Singh Singh Boudh (2026-32)","Sitting Rajya Sabha","Haryana","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Shri Mahesh Kewat (2026-32)","Sitting Rajya Sabha","Madhya Pradesh","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Shri Prakash Chik Baraik (2026-29)","Sitting Rajya Sabha","West Bengal","Rajya Sabha",49662892,0,0,0,0,0,49662892,0,0,0,"N/A"
"Shri Praveen Chakravarthy (2026-28)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",49000000,0,0,0,1,0,49000000,0,0,0,"N/A"
"Shri Rajneesh Kumar Agrawal (2026-32)","Sitting Rajya Sabha","Madhya Pradesh","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Shri Ram Nath Thakur (2026-32)","Sitting Rajya Sabha","Bihar","Rajya Sabha",65673638.730000004,0,0,0,33,0,65673638.730000004,0,0,0,"N/A"
"Shri Sat Paul Sharma (2025-31)","Sitting Rajya Sabha","Jammu And Kashmir","Rajya Sabha",73500000,0,0,0,16,0,73500000,0,0,0,"N/A"
"Shri Shivesh Kumar (2026-32)","Sitting Rajya Sabha","Bihar","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Shri Terash Gowalla (2026-32)","Sitting Rajya Sabha","Assam","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Shri Ujjwal Deorao Nikam (2025-31)","Nominated Rajya Sabha","Maharashtra","Rajya Sabha",73500000,0,0,0,0,0,73500000,0,0,0,"N/A"
"Shri Upendra Kushwaha (2026-32)","Sitting Rajya Sabha","Bihar","Rajya Sabha",49000000,0,0,0,7,0,49000000,0,0,0,"N/A"
"Shri Bhashyam Rama Krishna (2026-32)","Sitting Rajya Sabha","Andhra Pradesh","Rajya Sabha",49000000,0,0,0,1,0,49000000,0,0,0,"N/A"
"Shri Constandine Ravindran (2026-32)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",49356476.5,0,0,0,0,0,49356476.5,0,0,0,"N/A"
"Shri Debashish Samantaray (2026-30)","Sitting Rajya Sabha","Odisha","Rajya Sabha",23800006,0,0,0,0,0,23800006,0,0,0,"N/A"
"Shri Dilip Kumar Ray (2026-32)","Sitting Rajya Sabha","Odisha","Rajya Sabha",49000000,0,0,0,22,0,49000000,0,0,0,"N/A"
"Shri Harsh Vardhan Shringla (2025-31)","Nominated Rajya Sabha","West Bengal","Rajya Sabha",73500000,0,0,0,6,0,73500000,0,0,0,"N/A"
"Shri James Pangsang Kongkal Sangma (2026-32)","Sitting Rajya Sabha","Meghalaya","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Shri L. K. Sudhish (2026-32)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",49356476.5,0,0,0,0,0,49356476.5,0,0,0,"N/A"
"Shri Mallikarjun Kharge (2026-32)","Sitting Rajya Sabha","Karnataka","Rajya Sabha",49063957.11,0,0,0,0,0,49063957.11,0,0,0,"N/A"
"Shri Manmohan Samal (2026-32)","Sitting Rajya Sabha","Odisha","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Shri Mansoor Ali Khan (2026-32)","Sitting Rajya Sabha","Karnataka","Rajya Sabha",49000000,0,0,0,3,0,49000000,0,0,0,"N/A"
"Shri Neeraj Dangi (2026-32)","Sitting Rajya Sabha","Rajasthan","Rajya Sabha",49000000,0,0,0,4,0,49000000,0,0,0,"N/A"
"Shri Tai Tagak (2026-32)","Sitting Rajya Sabha","Arunachal Pradesh","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Shri Tiruchi Siva (2026-32)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",49356476.5,0,0,0,0,0,49356476.5,0,0,0,"N/A"
"Shri Vinod Shridhar Tawde (2026-32)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Shri Chowdry Mohammad Ramzan (2025-31)","Sitting Rajya Sabha","Jammu And Kashmir","Rajya Sabha",73500000,0,0,0,0,0,73500000,0,0,0,"N/A"
"Shri Gurwinder Singh Oberoi (2025-31)","Sitting Rajya Sabha","Jammu And Kashmir","Rajya Sabha",73500000,0,0,0,0,0,73500000,0,0,0,"N/A"
"Shri Kamal Haasan (2025-31)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",89248285.42,0,0,0,4,0,89248285.42,0,0,0,"N/A"
"Shri Lingamaneni Ramesh (2026-32)","Sitting Rajya Sabha","Andhra Pradesh","Rajya Sabha",49000000,0,0,0,1,0,49000000,0,0,0,"N/A"
"Shri M. Nagaraja (2026-32)","Sitting Rajya Sabha","Karnataka","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Shri Pramod Boro (2026-32)","Sitting Rajya Sabha","Assam","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Shri Rajeev Kumar (2026-32)","Sitting Rajya Sabha","West Bengal","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Shri Sajjad Ahmad Kichloo (2025-31)","Sitting Rajya Sabha","Jammu And Kashmir","Rajya Sabha",73500000,0,0,0,18,0,73500000,0,0,0,"N/A"
"Shri Sana Sathish Babu (2026-32)","Sitting Rajya Sabha","Andhra Pradesh","Rajya Sabha",49063978,0,0,0,0,0,49063978,0,0,0,"N/A"
"Shri Sanjay Bhatia (2026-32)","Sitting Rajya Sabha","Haryana","Rajya Sabha",49000000,0,0,0,1,0,49000000,0,0,0,"N/A"
"Shri Sujeet Kumar (2026-32)","Sitting Rajya Sabha","Odisha","Rajya Sabha",49000000,0,0,0,35,0,49000000,0,0,0,"N/A"
"Smt. Maya Chintaman Ivnate (2026-32)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",49000000,0,0,0,20,0,49000000,0,0,0,"N/A"
